2020-02-04 11:54:24,897,  INFO, Log, 20, Enter username, 
2020-02-04 11:54:25,212,  INFO, Log, 20, Enter password, 
2020-02-04 11:54:25,544,  INFO, Log, 20, Click Sign in Button, 
2020-02-04 11:54:27,849,  INFO, Log, 20, verify Admin Home Page, 
2020-02-04 11:54:27,959,  INFO, Log, 20, Clicking create account Link, 
2020-02-04 11:54:28,503,  INFO, Log, 20, Clicking create account Link, 
2020-02-04 11:54:30,527,  INFO, Log, 20, Verify Page displays, 
2020-02-04 11:54:30,634,  INFO, Log, 20, entering first name, 
2020-02-04 11:54:31,027,  INFO, Log, 20, entering middle name, 
2020-02-04 11:54:31,370,  INFO, Log, 20, entering last name, 
2020-02-04 11:54:31,807,  INFO, Log, 20, entering email, 
2020-02-04 11:54:32,603,  INFO, Log, 20, entering password, 
2020-02-04 11:54:33,138,  INFO, Log, 20, entering confirm password, 
2020-02-04 11:54:33,624,  INFO, Log, 20, toggle button, 
2020-02-04 11:54:33,797,  INFO, Log, 20, Click create board button, 
2020-02-04 11:54:34,162,  INFO, Log, 20, Click create Applicant Button, 
2020-02-04 11:54:36,828,  INFO, Log, 20, Verify New User displays, 
